Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,112,1,Mar 28,ATL,@,PHI,L4-10,CG,4,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,.500,.750,.500,1.250,4,.89,0.065,1.17,16.00,21.70,LF
2,113,2,Mar 30,ATL,@,PHI,L6-8,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.143,.333,.143,.476,4,1.17,-0.177,-1.80,0.00,0.00,LF
3,114,3,Mar 31,ATL,@,PHI,L1-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.200,.385,.200,.585,4,1.06,-0.010,-0.09,5.00,6.00,LF
4,115,4,Apr 1,ATL,,CHC,W8-0,CG,5,4,1,1,0,0,1,1,1,0,2,0,0,0,0,1,0,0,.214,.389,.429,.817,4,.31,0.064,-0.08,16.00,21.70,LF
5,116,5,Apr 3,ATL,,CHC,W6-4,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.176,.364,.353,.717,4,1.92,-0.051,-1.30,4.00,6.20,CF LF
6,117,6,Apr 4,ATL,,CHC,W9-4,CG,5,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.150,.346,.300,.646,4,.53,-0.043,-0.06,6.00,9.40,LF
7,118,7,Apr 5,ATL,,MIA,W4-0,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.167,.333,.417,.750,4,.68,0.145,0.91,16.00,22.20,LF
8,119,8,Apr 6,ATL,,MIA,L2-4,CG,5,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,.143,.314,.357,.671,4,1.83,-0.066,-0.10,2.00,3.00,LF
9,120,9,Apr 7,ATL,,MIA,W4-3,CG,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.129,.289,.323,.612,4,1.47,0.033,-0.16,0.00,0.00,LF
10,121,10,Apr 8,ATL,@,COL,W8-6,CG,5,3,3,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,.176,.349,.441,.790,4,.81,0.248,3.02,27.00,37.60,LF
